Strain,Phenotype
VC20464,-0.74729871
VC20114,0.594826947
VC20451,-0.543908293
VC20492,-1.058661819
VC20489,-1.401412337
VC20506,0.059985478
VC20467,-0.498710422
VC20522,0.621192372
VC20407,0.313595752
VC20445,-0.005300335
VC20142,1.284094474
VC40238,-0.388226738
VC20457,-0.629282048
VC40332,-3.050004667
VC20141,-0.967010581
VC20426,-1.00216448
VC20446,-0.579062192
VC20725,0.063751968
VC20412,-0.212457242
VC20500,0.578505494
VC20513,0.152892212
VC20123,0.90116807
VC20447,0.791939883
VC20606,0.799472861
VC20748,0.746742012
VC20712,0.741720026
VC20434,0.090117392
VC40511,-1.176678481
VC20686,-0.34930635
VC20759,-0.395759717
VC20443,-1.585970309
VC20448,-0.414592163
VC40231,-0.60417212
VC20405,-0.257655112
VC20624,0.888613106
VC20569,-0.938134164
VC20413,-0.571529213
VC20734,-0.179814335
VC20438,-0.803796048
VC20666,1.221319653
VC20768,0.967709379
VC20165,-0.292809011
VC20701,-0.011577817
VC20229,0.131548773
VC20488,-0.230034191
VC20406,-1.154079545
VC20614,-1.412711805
VC20521,-2.075613907
VC20511,-0.004044838
VC20410,0.908701048
VC20453,-0.51000989
VC20525,-0.074352637
VC20558,-0.019110795
VC20697,-0.557718753
VC20774,-1.308505603
VC20439,0.643791307
VC20411,-0.247611141
VC20161,0.61491489
VC20163,-2.479883749
VC20727,-0.545163789
VC40657,-1.83706959
VC40359,0.54837358
VC40557,-2.518804138
VC20079,-0.47485599
VC20400,-3.295203115
VC20418,-0.409570177
VC20442,-0.104484551
VC20503,0.179257637
VC40270,-2.417108929
VC20046,0.208134054
VC20169,0.357538126
VC20414,0.496898227
VC40443,-0.356839328
VC20460,0.339961177
VC20491,1.001607782
VC20652,-0.563996235
VC40025,-0.728466264
VC20440,-1.761739806
VC20472,-0.998397991
VC20475,-0.704611832
VC20738,0.314851249
VC30158,1.287860963
VC30169,-0.576551199
VC40138,0.989052818
VC40178,-0.172281357
VC20223,-0.468578508
VC20505,-1.411456309
VC20548,0.211900543
VC20635,0.332428198
VC40085,0.737953537
VC41032,-0.442213084
VC20490,-0.250122134
VC20598,-0.417103156
VC20620,-0.309130465
VC20629,-0.402037199
VC20639,-1.483019604
VC30081,-0.256399616
VC30222,0.500664717
VC40542,-0.479877976
VC20047,-0.345539861
VC20424,-1.622379705
VC20594,0.694011163
VC30159,-0.397015213
VC30175,-0.366883299
VC40566,-0.526331343
VC40687,-0.624260062
VC40860,-0.880381329
VC20132,0.260864903
VC20146,-0.319174436
VC20409,-0.083141112
VC20540,0.206878558
VC20615,-0.949433631
VC20623,-0.242589155
VC40106,0.260864903
VC40623,-0.577806695
VC20122,0.254587421
VC20155,0.051197004
VC20523,-1.554582899
VC20546,-0.350561846
VC20628,-0.615471588
VC20637,0.962687394
VC20007,-1.511896021
VC20048,-0.533864321
VC20055,0.053707996
VC20060,-1.305994611
VC20131,0.018554097
VC20140,-0.163492882
VC20147,-0.550185775
VC20143,0.636258328
VC20378,-0.348050853
VC20461,-1.000908984
VC30243,0.306062774
VC41031,-0.800029559
VC10128,-1.4842751
VC20125,-2.134622238
VC20583,-0.833927962
VC20595,-0.184836321
VC20082,-0.802540552
VC20128,-0.459790033
VC20149,0.368837594
VC20150,-1.392623862
VC20198,0.386414544
VC20233,-0.798774063
VC20571,0.321128731
VC30114,-1.156590538
VC10118,-0.679501904
VC20009,-0.290298019
VC20033,-0.086907601
VC20091,0.220689018
VC20136,0.304807277
VC20137,-0.972032567
VC20139,-0.272721069
VC20239,-0.7159113
VC20126,0.635002832
VC20134,0.121504802
VC20190,-0.885403315
VC20520,-0.615471588
VC20694,0.057474486
VC20719,0.13280427
VC20771,0.449189364
VC40260,0.065007464
VC20262,-0.001533845
VC20293,0.085095406
VC20432,0.029853565
VC20631,1.728540201
VC20640,-0.296575501
VC40195,-0.69833435
VC20124,0.282208342
VC20148,-0.496199429
VC20151,0.523263652
VC20160,0.211900543
VC20172,-0.074352637
VC20263,0.274675364
VC20750,0.288485824
VC40361,0.376370573
VC10130,-0.580317688
VC20074,0.842159739
VC20157,-0.351817343
VC20245,0.249565436
VC20250,0.469277306
VC20602,0.06626296
VC40635,2.016048878
VC20226,0.257098414
VC20711,0.554651062
VC20419,0.455466846
VC20739,0.690244674
VC20145,0.304807277
VC20152,-0.631793041
VC20153,0.380137062
VC30077,-0.231289688
VC40248,-0.054264694
VC40907,-0.388226738
VC20189,0.409013479
VC20612,-0.138382954
VC20678,-2.049248482
VC20761,-1.720308424
VC20182,-0.694567861
VC40213,1.33054784
VC40216,-1.1000932
VC40295,-0.87661484
VC20610,-1.056150826
VC20656,-0.055520191
VC20380,0.110205335
VC20423,-1.32357156
VC20466,0.019809593
VC20560,0.11522732
VC30024,0.41905745
VC40154,-0.68452389
VC20222,0.742975523
VC20421,-0.350561846
VC20425,0.930044487
VC40251,-0.25137763
VC40697,-1.440332726
VC40794,0.057474486
VC20477,0.427845925
VC40922,-1.648745129
VC20603,-0.149682421
VC20609,-0.104484551
VC30074,-0.152193414
VC40250,-1.156590538
VC40473,-0.609194106
VC41013,0.302296285
VC20200,0.301040788
VC20607,-0.360605817
VC20618,0.053707996
VC20647,0.137826256
VC40212,-0.949433631
VC40870,0.437889896
VC20605,0.13280427
VC20632,-0.064308666
VC20638,0.047430514
VC40788,-1.052384337
VC20604,0.014787608
VC20613,-0.078119126
VC20617,-1.760484309
VC30072,-0.3317294
VC10116,0.231988486
VC30071,-0.472344997
VC30075,-0.95696661
VC30076,-0.569018221
VC20023,-0.373160781
VC20040,-0.305363976
VC20175,0.4366344
VC20601,-0.457279041
VC20608,-0.896702782
VC30078,-0.601661127
VC40174,-0.078119126
VC40257,-0.52382035
VC20599,-0.616727084
VC40196,0.361304616
VC20600,0.363815608
VC40533,-1.454143186
VC20019,-0.768642149
VC20056,-0.856526897
VC20716,-1.061172812
VC40804,-0.419614148
VC20029,-0.65313648
VC20383,-0.093185083
VC20386,-1.755462324
VC30174,-1.047362351
VC40741,-0.639326019
VC40973,0.210645047
VC20170,-0.536375314
VC20636,0.280952846
VC30163,-1.013463948
VC40748,-0.945667142
VC20626,-1.759228813
VC20627,-0.305363976
VC20643,-0.402037199
VC40694,0.047430514
VC20236,-0.5413973
VC40035,-1.062428308
VC20586,0.395203019
VC30107,-0.767386653
VC40300,-1.952575259
VC40341,-0.395759717
VC40719,-1.798149201
VC41004,-0.98835402
VC20309,0.380137062
VC30014,-0.198646781
VC30070,-0.940645157
VC40641,-1.555838395
VC20167,0.191812601
VC20227,-0.307874968
VC20387,-1.424011273
VC40721,-0.607938609
VC20199,-0.51000989
VC20746,0.063751968
VC20494,0.147870227
VC20552,-1.808193173
VC20568,-1.297206136
VC20578,-1.583459316
VC20585,-0.483644465
VC40095,-0.69833435
VC20574,-0.646858998
VC20787,-0.507498897
VC40071,-1.123947632
VC40144,-0.166003875
VC20512,-0.972032567
VC20589,0.172980155
VC20454,0.69150017
VC30188,0.535818616
VC20572,-0.459790033
VC20592,-1.397645848
VC20662,-0.994631502
VC40916,-0.216223731
VC20664,-0.149682421
VC20685,-0.423380638
VC20706,-1.034807387
VC40118,-1.303483618
VC20064,-0.353072839
VC20556,-0.266443587
VC20579,-0.1572154
VC20633,-0.199902278
VC20658,-0.472344997
VC20690,-1.159101531
VC20709,0.4366344
VC20024,-2.449751836
VC20068,-2.612966368
VC30001,0.937577466
VC30019,-0.281509544
VC20728,-0.462301026
VC40093,-3.55546752
VC40894,-0.798774063
VC41029,-2.983337808
VC20580,-2.861554657
VC20625,-0.360605817
VC40826,-2.802546326
VC40920,-0.998397991
VC20517,0.0524525
VC20551,0.046175018
VC20591,-1.357469963
VC20641,-1.181700466
VC20550,-0.070586148
VC20593,-0.315407947
VC20659,0.131548773
VC40074,0.097650371
VC20590,-1.249497272
VC20261,-0.089418594
VC20650,0.032364557
VC20667,0.10141686
VC20689,-0.471089501
VC30004,-0.620493573
VC20508,0.008510126
VC20536,0.385159047
VC20567,-1.373791416
VC20642,-0.946922639
VC20660,-0.066819659
VC30236,0.535818616
VC20228,-1.017230437
VC20284,-0.748554207
VC20655,0.326150716
VC20668,-0.085652105
VC20377,-0.327962911
VC20616,-1.313527589
VC20702,0.009765622
VC20273,0.072540442
VC20561,-1.072472279
VC20566,-0.714655804
VC20575,0.105183349
VC20682,0.156658702
VC20570,-1.913654871
VC40258,-3.241593419
VC20264,-2.515037649
VC20288,-1.061172812
VC20209,-2.031671533
VC20535,-1.196891973
VC41018,-3.97455222
VC20220,-0.26895458
VC20238,-1.844602568
VC30026,-0.383204753
VC40201,-2.472350771
VC20026,-0.399526206
VC20059,0.301040788
VC20197,-0.330473904
VC20305,0.086350903
VC20483,0.672667724
VC40050,0.544607091
VC40132,-0.561485242
VC40197,0.264631392
VC20519,0.809516832
VC40998,0.732931552
VC20093,0.41905745
VC30084,1.176121783
VC30117,-0.664435947
VC30146,-0.311641458
VC40125,-0.658158465
VC40750,-0.476111487
VC20507,0.552140069
VC20596,0.48559876
VC30100,0.570972515
VC40026,0.058729982
VC20565,-0.781197113
VC40827,0.105183349
VC20562,-0.63555953
VC20661,0.372604083
VC20577,1.391439416
VC20630,0.041153032
VC40000,0.401480501
VC40568,2.59859921
VC20588,0.40524699
VC20597,-0.21999022
VC30002,0.267142385
VC40608,-1.633679172
VC20516,-1.655022611
VC20681,-1.136502596
VC40043,-0.781197113
VC40253,0.538329609
VC20648,-0.378182767
VC20665,-0.687034883
VC20554,-0.491177444
VC20564,0.344983162
VC20688,0.323639723
VC40661,-0.081885615
VC20663,-0.104484551
VC20687,-1.557093892
VC30063,-0.518798364
VC30221,-0.42965812
VC30257,-0.585339674
VC40224,-0.225012206
VC30017,-0.437191098
VC40883,0.874802645
VC20338,-1.073727776
VC20778,0.347494155
VC20328,-0.133360968
VC40239,-0.945667142
VC20754,-1.973918698
VC20756,-0.467323012
VC20555,-0.789985588
VC40011,0.559673048
VC20684,-0.074352637
VC30225,0.004743637
VC40033,0.108949838
VC40038,-1.319805071
