Strain_Name,Genotype,Identifier,Source,Screened_by,PreUV_Quiescence_Fraction,PostUV_Quiescence_Fraction
VC10116,MMP,https://cgc.umn.edu/strain/VC10116,Caenorhabditis Genetics Center,human,0.0235166666666667,0.593666666666667
VC10118,MMP,https://cgc.umn.edu/strain/VC10118,Caenorhabditis Genetics Center,human,0.0274333333333333,0.472666666666667
VC10128,MMP,https://cgc.umn.edu/strain/VC10128,Caenorhabditis Genetics Center,human,0.0501666666666667,0.365833333333333
VC10129,MMP,https://cgc.umn.edu/strain/VC10129,Caenorhabditis Genetics Center,human,0.00173666666666667,0.561666666666667
VC10130,MMP,https://cgc.umn.edu/strain/VC10130,Caenorhabditis Genetics Center,human,0.0570333333333333,0.485833333333333
VC20007,MMP,https://cgc.umn.edu/strain/VC20007,Caenorhabditis Genetics Center,human,0.0534666666666667,0.362166666666667
VC20009,MMP,https://cgc.umn.edu/strain/VC20009,Caenorhabditis Genetics Center,human,0.172833333333333,0.524333333333333
VC20017,MMP,https://cgc.umn.edu/strain/VC20017,Caenorhabditis Genetics Center,human,0.01875,0.553666666666667
VC20019,MMP,https://cgc.umn.edu/strain/VC20019,Caenorhabditis Genetics Center,human,0.0191,0.460833333333333
VC20023,MMP,https://cgc.umn.edu/strain/VC20023,Caenorhabditis Genetics Center,human,0.0936666666666667,0.513333333333333
VC20024,MMP,https://cgc.umn.edu/strain/VC20024,Caenorhabditis Genetics Center,human,0.0212666666666667,0.237666666666667
VC20025,MMP,https://cgc.umn.edu/strain/VC20025,Caenorhabditis Genetics Center,human,0.0201333333333333,0.679166666666667
VC20029,MMP,https://cgc.umn.edu/strain/VC20029,Caenorhabditis Genetics Center,human,0.13915,0.476166666666667
VC20033,MMP,https://cgc.umn.edu/strain/VC20033,Caenorhabditis Genetics Center,human,0.0329,0.551333333333333
VC20040,MMP,https://cgc.umn.edu/strain/VC20040,Caenorhabditis Genetics Center,human,0.0469666666666667,0.522333333333333
VC20044,MMP,https://cgc.umn.edu/strain/VC20044,Caenorhabditis Genetics Center,human,0.0745666666666667,0.434333333333333
VC20046,MMP,https://cgc.umn.edu/strain/VC20046,Caenorhabditis Genetics Center,human,0.0591166666666667,0.5905
VC20047,MMP,https://cgc.umn.edu/strain/VC20047,Caenorhabditis Genetics Center,human,0.0869833333333333,0.517
VC20048,MMP,https://cgc.umn.edu/strain/VC20048,Caenorhabditis Genetics Center,human,0.0171833333333333,0.492
VC20055,MMP,https://cgc.umn.edu/strain/VC20055,Caenorhabditis Genetics Center,human,0.0128466666666667,0.57
VC20056,MMP,https://cgc.umn.edu/strain/VC20056,Caenorhabditis Genetics Center,human,0.05425,0.449166666666667
VC20060,MMP,https://cgc.umn.edu/strain/VC20060,Caenorhabditis Genetics Center,human,0.0199666666666667,0.3895
VC20064,MMP,https://cgc.umn.edu/strain/VC20064,Caenorhabditis Genetics Center,human,0.0981833333333333,0.516
VC20068,MMP,https://cgc.umn.edu/strain/VC20068,Caenorhabditis Genetics Center,human,0.0214333333333333,0.216
VC20074,MMP,https://cgc.umn.edu/strain/VC20074,Caenorhabditis Genetics Center,human,0.09705,0.674666666666667
VC20079,MMP,https://cgc.umn.edu/strain/VC20079,Caenorhabditis Genetics Center,human,0.157566666666667,0.499833333333333
VC20082,MMP,https://cgc.umn.edu/strain/VC20082,Caenorhabditis Genetics Center,human,0.07005,0.456333333333333
VC20091,MMP,https://cgc.umn.edu/strain/VC20091,Caenorhabditis Genetics Center,human,0.143583333333333,0.592166666666667
VC20110,MMP,https://cgc.umn.edu/strain/VC20110,Caenorhabditis Genetics Center,human,0.0681666666666667,0.935166666666667
VC20111,MMP,https://cgc.umn.edu/strain/VC20111,Caenorhabditis Genetics Center,human,0.0783,0.411
VC20114,MMP,https://cgc.umn.edu/strain/VC20114,Caenorhabditis Genetics Center,human,0.169,0.641833333333333
VC20122,MMP,https://cgc.umn.edu/strain/VC20122,Caenorhabditis Genetics Center,human,0.09835,0.596666666666667
VC20123,MMP,https://cgc.umn.edu/strain/VC20123,Caenorhabditis Genetics Center,human,0.127,0.6825
VC20124,MMP,https://cgc.umn.edu/strain/VC20124,Caenorhabditis Genetics Center,human,0.10695,0.600333333333333
VC20125,MMP,https://cgc.umn.edu/strain/VC20125,Caenorhabditis Genetics Center,human,0.00954833333333333,0.2795
VC20126,MMP,https://cgc.umn.edu/strain/VC20126,Caenorhabditis Genetics Center,human,0.182,0.647166666666667
VC20127,MMP,https://cgc.umn.edu/strain/VC20127,Caenorhabditis Genetics Center,human,0.04115,0.500833333333333
VC20128,MMP,https://cgc.umn.edu/strain/VC20128,Caenorhabditis Genetics Center,human,0.0527833333333333,0.501833333333333
VC20130,MMP,https://cgc.umn.edu/strain/VC20130,Caenorhabditis Genetics Center,human,0.0337666666666667,0.594
VC20131,MMP,https://cgc.umn.edu/strain/VC20131,Caenorhabditis Genetics Center,human,0.0724,0.565333333333333
VC20132,MMP,https://cgc.umn.edu/strain/VC20132,Caenorhabditis Genetics Center,human,0.0243,0.5975
VC20133,MMP,https://cgc.umn.edu/strain/VC20133,Caenorhabditis Genetics Center,human,0.04385,0.585333333333333
VC20134,MMP,https://cgc.umn.edu/strain/VC20134,Caenorhabditis Genetics Center,human,0.11285,0.579
VC20135,MMP,https://cgc.umn.edu/strain/VC20135,Caenorhabditis Genetics Center,human,0.0171,0.634
VC20136,MMP,https://cgc.umn.edu/strain/VC20136,Caenorhabditis Genetics Center,human,0.06025,0.603333333333333
VC20137,MMP,https://cgc.umn.edu/strain/VC20137,Caenorhabditis Genetics Center,human,0.01467,0.433833333333333
VC20138,MMP,https://cgc.umn.edu/strain/VC20138,Caenorhabditis Genetics Center,human,0.0390833333333333,0.555
VC20139,MMP,https://cgc.umn.edu/strain/VC20139,Caenorhabditis Genetics Center,human,0.011805,0.526666666666667
VC20140,MMP,https://cgc.umn.edu/strain/VC20140,Caenorhabditis Genetics Center,human,0.0300333333333333,0.541166666666667
VC20141,MMP,https://cgc.umn.edu/strain/VC20141,Caenorhabditis Genetics Center,human,0.0551166666666667,0.4345
VC20142,MMP,https://cgc.umn.edu/strain/VC20142,Caenorhabditis Genetics Center,human,0.478333333333333,0.733333333333333
VC20143,MMP,https://cgc.umn.edu/strain/VC20143,Caenorhabditis Genetics Center,human,0.210166666666667,0.647333333333333
VC20145,MMP,https://cgc.umn.edu/strain/VC20145,Caenorhabditis Genetics Center,human,0.156416666666667,0.603333333333333
VC20146,MMP,https://cgc.umn.edu/strain/VC20146,Caenorhabditis Genetics Center,human,0.0458333333333333,0.5205
VC20147,MMP,https://cgc.umn.edu/strain/VC20147,Caenorhabditis Genetics Center,human,0.0554666666666667,0.489833333333333
VC20148,MMP,https://cgc.umn.edu/strain/VC20148,Caenorhabditis Genetics Center,human,0.04765,0.497
VC20149,MMP,https://cgc.umn.edu/strain/VC20149,Caenorhabditis Genetics Center,human,0.121966666666667,0.611833333333333
VC20150,MMP,https://cgc.umn.edu/strain/VC20150,Caenorhabditis Genetics Center,human,0.0901,0.378
VC20151,MMP,https://cgc.umn.edu/strain/VC20151,Caenorhabditis Genetics Center,human,0.15825,0.632333333333333
VC20152,MMP,https://cgc.umn.edu/strain/VC20152,Caenorhabditis Genetics Center,human,0.0975666666666667,0.479
VC20153,MMP,https://cgc.umn.edu/strain/VC20153,Caenorhabditis Genetics Center,human,0.107816666666667,0.613333333333333
VC20154,MMP,https://cgc.umn.edu/strain/VC20154,Caenorhabditis Genetics Center,human,0.14305,0.648333333333333
VC20155,MMP,https://cgc.umn.edu/strain/VC20155,Caenorhabditis Genetics Center,human,0.06935,0.569666666666667
VC20156,MMP,https://cgc.umn.edu/strain/VC20156,Caenorhabditis Genetics Center,human,0.0228333333333333,0.758166666666667
VC20157,MMP,https://cgc.umn.edu/strain/VC20157,Caenorhabditis Genetics Center,human,0.0799666666666667,0.516166666666667
VC20158,MMP,https://cgc.umn.edu/strain/VC20158,Caenorhabditis Genetics Center,human,0,0.628666666666667
VC20159,MMP,https://cgc.umn.edu/strain/VC20159,Caenorhabditis Genetics Center,human,0.0232666666666667,0.746833333333333
VC20160,MMP,https://cgc.umn.edu/strain/VC20160,Caenorhabditis Genetics Center,human,0.1006,0.591
VC20161,MMP,https://cgc.umn.edu/strain/VC20161,Caenorhabditis Genetics Center,human,0.09115,0.6445
VC20162,MMP,https://cgc.umn.edu/strain/VC20162,Caenorhabditis Genetics Center,human,0,0.754666666666667
VC20163,MMP,https://cgc.umn.edu/strain/VC20163,Caenorhabditis Genetics Center,human,0.0390666666666667,0.233666666666667
VC20164,MMP,https://cgc.umn.edu/strain/VC20164,Caenorhabditis Genetics Center,human,0.11745,0.395666666666667
VC20165,MMP,https://cgc.umn.edu/strain/VC20165,Caenorhabditis Genetics Center,human,0.0947,0.524
VC20167,MMP,https://cgc.umn.edu/strain/VC20167,Caenorhabditis Genetics Center,human,0.0594666666666667,0.588333333333333
VC20169,MMP,https://cgc.umn.edu/strain/VC20169,Caenorhabditis Genetics Center,human,0.0890666666666667,0.610333333333333
VC20170,MMP,https://cgc.umn.edu/strain/VC20170,Caenorhabditis Genetics Center,human,0.05035,0.491666666666667
VC20171,MMP,https://cgc.umn.edu/strain/VC20171,Caenorhabditis Genetics Center,human,0.101283333333333,0.505333333333333
VC20172,MMP,https://cgc.umn.edu/strain/VC20172,Caenorhabditis Genetics Center,human,0.0691833333333333,0.553
VC20175,MMP,https://cgc.umn.edu/strain/VC20175,Caenorhabditis Genetics Center,human,0.100083333333333,0.620833333333333
VC20180,MMP,https://cgc.umn.edu/strain/VC20180,Caenorhabditis Genetics Center,human,0.0970166666666667,0.803
VC20182,MMP,https://cgc.umn.edu/strain/VC20182,Caenorhabditis Genetics Center,human,0.0644833333333333,0.470666666666667
VC20189,MMP,https://cgc.umn.edu/strain/VC20189,Caenorhabditis Genetics Center,human,0.04315,0.617166666666667
VC20190,MMP,https://cgc.umn.edu/strain/VC20190,Caenorhabditis Genetics Center,human,0.0854166666666667,0.445333333333333
VC20198,MMP,https://cgc.umn.edu/strain/VC20198,Caenorhabditis Genetics Center,human,0.08195,0.614166666666667
VC20199,MMP,https://cgc.umn.edu/strain/VC20199,Caenorhabditis Genetics Center,human,0.0236166666666667,0.495166666666667
VC20200,MMP,https://cgc.umn.edu/strain/VC20200,Caenorhabditis Genetics Center,human,0.135683333333333,0.602833333333333
VC20210,MMP,https://cgc.umn.edu/strain/VC20210,Caenorhabditis Genetics Center,human,0.0204,0.640166666666667
VC20211,MMP,https://cgc.umn.edu/strain/VC20211,Caenorhabditis Genetics Center,human,0.00104166666666667,0.637833333333333
VC20213,MMP,https://cgc.umn.edu/strain/VC20213,Caenorhabditis Genetics Center,human,0.001215,0.685666666666667
VC20215,MMP,https://cgc.umn.edu/strain/VC20215,Caenorhabditis Genetics Center,human,0.136466666666667,0.695166666666667
VC20217,MMP,https://cgc.umn.edu/strain/VC20217,Caenorhabditis Genetics Center,human,0.0116666666666667,0.7095
VC20222,MMP,https://cgc.umn.edu/strain/VC20222,Caenorhabditis Genetics Center,human,0.10685,0.6615
VC20223,MMP,https://cgc.umn.edu/strain/VC20223,Caenorhabditis Genetics Center,human,0.01895,0.500666666666667
VC20226,MMP,https://cgc.umn.edu/strain/VC20226,Caenorhabditis Genetics Center,human,0.0566833333333333,0.597
VC20227,MMP,https://cgc.umn.edu/strain/VC20227,Caenorhabditis Genetics Center,human,0.339333333333333,0.522
VC20228,MMP,https://cgc.umn.edu/strain/VC20228,Caenorhabditis Genetics Center,human,0.0739166666666667,0.427833333333333
VC20229,MMP,https://cgc.umn.edu/strain/VC20229,Caenorhabditis Genetics Center,human,0.0565166666666667,0.580333333333333
VC20230,MMP,https://cgc.umn.edu/strain/VC20230,Caenorhabditis Genetics Center,human,0.0846166666666667,0.769
VC20233,MMP,https://cgc.umn.edu/strain/VC20233,Caenorhabditis Genetics Center,human,0.0116316666666667,0.456833333333333
VC20236,MMP,https://cgc.umn.edu/strain/VC20236,Caenorhabditis Genetics Center,human,0.0216166666666667,0.491
VC20239,MMP,https://cgc.umn.edu/strain/VC20239,Caenorhabditis Genetics Center,human,0.03195,0.467833333333333
VC20240,MMP,https://cgc.umn.edu/strain/VC20240,Caenorhabditis Genetics Center,human,0.0491333333333333,0.6785
VC20245,MMP,https://cgc.umn.edu/strain/VC20245,Caenorhabditis Genetics Center,human,0.1002,0.596
VC20250,MMP,https://cgc.umn.edu/strain/VC20250,Caenorhabditis Genetics Center,human,0.0340333333333333,0.625166666666667
VC20261,MMP,https://cgc.umn.edu/strain/VC20261,Caenorhabditis Genetics Center,human,0.00442666666666667,0.551
VC20262,MMP,https://cgc.umn.edu/strain/VC20262,Caenorhabditis Genetics Center,human,0.02865,0.562666666666667
VC20263,MMP,https://cgc.umn.edu/strain/VC20263,Caenorhabditis Genetics Center,human,0.206,0.599333333333333
