Strain_Name,Genotype,Identifier,Source,PreUV_Quiescence_Fraction,PostUV_Quiescence_Fraction,SKAT_Rank_Percentile
AA411,din-1(dh149) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00000024#03--10,Caenorhabditis Genetics Center,0.0497104247104247,0.611607142857143,5
AR10,cysl-1(mr25) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00000222#03--10,Caenorhabditis Genetics Center,0.0715562056415976,0.616430260047281,7.29
AR11,cysl-1(mr26) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00000223#03--10,Caenorhabditis Genetics Center,0.0777071102413568,0.611342592592593,7.29
AR4,cysl-1(mr19) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00000216#03--10,Caenorhabditis Genetics Center,0.197612041571773,0.678729423868313,7.29
CB1126,che-6(e1126) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00004250#03--10,Caenorhabditis Genetics Center,0.147041502291112,0.685833333333333,1.49
CB6614,egl-8(e2917) V. Outcrossed x3,https://wormbase.org/species/c_elegans/strain/WBStrain00004701#03--10,Caenorhabditis Genetics Center,0.118974469435879,0.798017939814815,0.45
CF367,mig-14(mu71) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00004822#03--10,Caenorhabditis Genetics Center,0.169426779720897,0.578530092592592,0.23
CZ26389,esyt-2(ju1408) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00049860#03--10,Caenorhabditis Genetics Center,0.087248322147651,0.620920138888889,12.37
DA467,eat-6(ad467) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00005464#03--10,Caenorhabditis Genetics Center,0.180766456773168,0.585565476190476,1.73
DA601,eat-6(ad601) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00005489#03--10,Caenorhabditis Genetics Center,0.149888143176734,0.701388888888889,1.73
DA792,eat-6(ad792) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00005516#03--10,Caenorhabditis Genetics Center,0.297739824990461,0.645785440613027,1.73
