StrainName,Genotype,Identifier,Source
AA411,din-1(dh149) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00000024#03--10,Caenorhabditis Genetics Center
AR10,cysl-1(mr25) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00000222#03--10,Caenorhabditis Genetics Center
AR11,cysl-1(mr26) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00000223#03--10,Caenorhabditis Genetics Center
AR4,cysl-1(mr19) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00000216#03--10,Caenorhabditis Genetics Center
CB1126,che-6(e1126) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00004250#03--10,Caenorhabditis Genetics Center
CB6614,egl-8(e2917) V. Outcrossed x3,https://wormbase.org/species/c_elegans/strain/WBStrain00004701#03--10,Caenorhabditis Genetics Center
CF367,mig-14(mu71) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00004822#03--10,Caenorhabditis Genetics Center
CFY13,C27D6.11(syb11016) II.,Fang-Yen Lab Strain Collection: CFY13,Fang-Yen Lab
CHS1198,srv-1(yum2185) srv-2(yum2186) srv-3(yum2187) srv-4(yum2188) srv-17(yum2189) srv-19(yum2190) srv-21(yum2191) srv-22(yum2192) srv-34(yum2193) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00062447#03--10,Caenorhabditis Genetics Center
CZ26389,esyt-2(ju1408) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00049860#03--10,Caenorhabditis Genetics Center
DA467,eat-6(ad467) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00005464#03--10,Caenorhabditis Genetics Center
DA601,eat-6(ad601) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00005489#03--10,Caenorhabditis Genetics Center
DA792,eat-6(ad792) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00005516#03--10,Caenorhabditis Genetics Center
DA997,eat-6(ad997) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00005529#03--10,Caenorhabditis Genetics Center
ET137,C30G12.1(ok910) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00007242#03--10,Caenorhabditis Genetics Center
EU1135,tba-1(or346) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00007346#03--10,Caenorhabditis Genetics Center
EU640,cul-2(or209) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00007297#03--10,Caenorhabditis Genetics Center
FX1053,ins-11(tm1053) II.,https://wormbase.org/species/c_elegans/strain/WBStrain00007572#03--10,Caenorhabditis Genetics Center
FX627,lgc-11(tm627) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00007565#03--10,Caenorhabditis Genetics Center
HY601,mat-3(or344) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00008573#03--10,Caenorhabditis Genetics Center
IG544,nipi-3(fr4) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00021982#03--10,Caenorhabditis Genetics Center
IK581,ins-1(nj32) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00022000#03--10,Caenorhabditis Genetics Center
IK777,egl-8(nj77) V. Outcrossed x5,https://wormbase.org/species/c_elegans/strain/WBStrain00022014#03--10,Caenorhabditis Genetics Center
JT47,egl-8(sa47) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00022776#03--10,Caenorhabditis Genetics Center
KG1278,unc-73(ce362) I.,https://wormbase.org/species/c_elegans/strain/WBStrain00023486#03--10,Caenorhabditis Genetics Center
MT1083,egl-8(n488) V. Outcrossed x1,https://wormbase.org/species/c_elegans/strain/WBStrain00053903#03--10,Caenorhabditis Genetics Center
MT2840,dig-1(n1321) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00027010#03--10,Caenorhabditis Genetics Center
N2,C. elegans wild isolate,https://wormbase.org/species/c_elegans/strain/WBStrain00000003#03--10,Caenorhabditis Genetics Center
NB105,fcd-2(tm1298) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00028632#03--10,Caenorhabditis Genetics Center
